,Reporting_Year,NTA__,boro___x,NO_count,unit_value_max_max_x,unit_value_min_min_x,unit_value_total_sum_x,unit_value_mean_x,YES_count,unit_value_max_max_y,unit_value_min_min_y,unit_value_total_sum_y,unit_value_mean_y,count_all,vacant_ratio
254,2020 and 2021,QN15,4,173,180.7,5.805,10316.09267,59.63059345,19,180.7,13.24457787,1041.935472,54.83870905,192,0.098958333
255,2019 and 2020,QN15,4,124,180.7,5.805,6816.075694,54.96835237,16,180.7,10.49562682,1195.627377,74.72671108,140,0.114285714
256,2019 and 2020,QN17,4,568,428.0555556,20.59701493,72156.19927,127.0355621,46,343.5,35.9330165,5121.526054,111.3375229,614,0.074918567
257,2020 and 2021,QN17,4,545,428.0555556,26.4,66760.2043,122.4957877,44,413.6869565,35.9330165,5844.412505,132.8275569,589,0.074702886
258,2020 and 2021,QN18,4,213,458.8163265,25.74394464,24061.01953,112.962533,23,212.2389593,25.31314051,2305.121363,100.2226679,236,0.097457627
259,2019 and 2020,QN18,4,212,489.0625,30.49126638,24575.69423,115.923086,12,148.08,37.75360685,925.047171,77.08726425,224,0.053571429
260,2020 and 2021,QN19,4,150,433.5920578,20.05454545,11001.04898,73.34032656,25,108.8235294,16.635,1362.717191,54.50868765,175,0.142857143
261,2019 and 2020,QN19,4,145,433.5920578,18.85,10080.06115,69.51766308,15,124.9383363,16.65204678,935.9263767,62.39509178,160,0.09375
262,2019 and 2020,QN20,4,523,461.25,16.99038462,40312.98407,77.08027547,62,170.0366972,18.90909091,4107.249342,66.24595713,585,0.105982906
263,2020 and 2021,QN20,4,525,461.25,16.99038462,41402.04578,78.86103957,61,190.7142857,19.15217391,4689.806752,76.8820779,586,0.104095563
264,2019 and 2020,QN21,4,189,540.4761905,19.2408377,18437.91859,97.55512479,19,144.6576923,25,1685.309825,88.7005171,208,0.091346154
265,2020 and 2021,QN21,4,170,540.4761905,31.55737705,17395.2132,102.3247835,19,127.7142857,23.97692308,1588.343574,83.5970302,189,0.100529101
266,2019 and 2020,QN22,4,909,576.4921875,26.62835995,122995.2053,135.3082567,86,255.9461538,26.62190083,8877.092058,103.2220007,995,0.086432161
267,2020 and 2021,QN22,4,853,576.4921875,26.62835995,117685.366,137.9664314,114,292.5681818,26.62190083,11507.50979,100.9430683,967,0.117890383
268,2020 and 2021,QN23,4,185,444.5667614,21.28571429,13749.18835,74.31993705,18,187.785,23.92479436,1286.235843,71.45754681,203,0.088669951
